npn_rep_hex,npn_rep_dec,opt_aig,status
0x0696,1686,7,exact
0x0697,1687,8,exact
0x069f,1695,6,exact
0x06b0,1712,8,exact
0x06b1,1713,9,exact
0x06b2,1714,8,exact
0x06b3,1715,8,exact
0x06b4,1716,8,exact
0x06b5,1717,8,exact
0x06b6,1718,7,exact
0x06b7,1719,8,exact
0x06b9,1721,8,exact
0x06bd,1725,8,exact
0x06f0,1776,7,exact
0x06f1,1777,7,exact
0x06f2,1778,7,exact
0x06f6,1782,6,exact
0x06f9,1785,7,exact
0x0776,1910,7,exact
0x0778,1912,7,exact
0x0779,1913,9,exact
0x077a,1914,7,exact
0x077e,1918,8,exact
0x07b0,1968,7,exact
0x07b1,1969,8,exact
0x07b4,1972,7,exact
0x07b5,1973,7,exact
0x07b6,1974,8,exact
0x07bc,1980,7,exact
0x07e0,2016,7,exact
0x07e1,2017,7,exact
0x07e2,2018,7,exact
0x07e3,2019,7,exact
0x07e6,2022,7,exact
0x07e9,2025,7,exact
0x07f0,2032,5,exact
0x07f1,2033,7,exact
0x07f2,2034,6,exact
0x07f8,2040,5,exact
0x0ff0,4080,3,exact
0x1668,5736,9,exact
0x1669,5737,10,exact
0x166a,5738,9,exact
0x166b,5739,10,exact
0x166e,5742,9,exact
0x167e,5758,9,exact
0x1681,5761,10,exact
0x1683,5763,10,exact
0x1686,5766,9,exact
0x1687,5767,9,exact
0x1689,5769,9,exact
0x168b,5771,9,exact
0x168e,5774,9,exact
0x1696,5782,8,exact
0x1697,5783,9,exact
0x1698,5784,9,exact
0x1699,5785,8,exact
0x169a,5786,8,exact
0x169b,5787,9,exact
0x169e,5790,8,exact
0x16a9,5801,9,exact
0x16ac,5804,9,exact
0x16ad,5805,9,exact
0x16bc,5820,8,exact
0x16e9,5865,9,exact
0x177e,6014,9,exact
0x178e,6030,8,exact
0x1796,6038,9,exact
0x1798,6040,8,exact
0x179a,6042,8,exact
0x17ac,6060,8,exact
0x17e8,6120,7,exact
0x18e7,6375,8,exact
0x19e1,6625,9,exact
0x19e3,6627,9,exact
0x19e6,6630,7,exact
0x1bd8,7128,9,exact
0x1be4,7140,6,exact
0x1ee1,7905,7,exact
0x3cc3,15555,6,exact
0x6996,27030,9,exact
